,Hari,Tarikh,Bulan,Tahun,Islamic Lunation Number
27-02-0632,Khamis,1,12,10,1
28-02-0632,Jumaat,2,12,10,2
29-02-0632,Sabtu,3,12,10,3
01-03-0632,Ahad,4,12,10,4
02-03-0632,Isnin,5,12,10,5
03-03-0632,Selasa,6,12,10,6
04-03-0632,Rabu,7,12,10,7
05-03-0632,Khamis,8,12,10,8
06-03-0632,Jumaat,9,12,10,9
07-03-0632,Sabtu,10,12,10,10
08-03-0632,Ahad,11,12,10,11
09-03-0632,Isnin,12,12,10,12
10-03-0632,Selasa,13,12,10,13
11-03-0632,Rabu,14,12,10,14
12-03-0632,Khamis,15,12,10,15
13-03-0632,Jumaat,16,12,10,16
14-03-0632,Sabtu,17,12,10,17
15-03-0632,Ahad,18,12,10,18
16-03-0632,Isnin,19,12,10,19
17-03-0632,Selasa,20,12,10,20
18-03-0632,Rabu,21,12,10,21
19-03-0632,Khamis,22,12,10,22
20-03-0632,Jumaat,23,12,10,23
21-03-0632,Sabtu,24,12,10,24
22-03-0632,Ahad,25,12,10,25
23-03-0632,Isnin,26,12,10,26
24-03-0632,Selasa,27,12,10,27
25-03-0632,Rabu,28,12,10,28
26-03-0632,Khamis,29,12,10,29
27-03-0632,Jumaat,30,12,10,30
28-03-0632,Sabtu,1,1,11,31
29-03-0632,Ahad,2,1,11,32
30-03-0632,Isnin,3,1,11,33
31-03-0632,Selasa,4,1,11,34
01-04-0632,Rabu,5,1,11,35
02-04-0632,Khamis,6,1,11,36
03-04-0632,Jumaat,7,1,11,37
04-04-0632,Sabtu,8,1,11,38
05-04-0632,Ahad,9,1,11,39
06-04-0632,Isnin,10,1,11,40
07-04-0632,Selasa,11,1,11,41
08-04-0632,Rabu,12,1,11,42
09-04-0632,Khamis,13,1,11,43
10-04-0632,Jumaat,14,1,11,44
11-04-0632,Sabtu,15,1,11,45
12-04-0632,Ahad,16,1,11,46
13-04-0632,Isnin,17,1,11,47
14-04-0632,Selasa,18,1,11,48
15-04-0632,Rabu,19,1,11,49
16-04-0632,Khamis,20,1,11,50
17-04-0632,Jumaat,21,1,11,51
18-04-0632,Sabtu,22,1,11,52
19-04-0632,Ahad,23,1,11,53
20-04-0632,Isnin,24,1,11,54
21-04-0632,Selasa,25,1,11,55
22-04-0632,Rabu,26,1,11,56
23-04-0632,Khamis,27,1,11,57
24-04-0632,Jumaat,28,1,11,58
25-04-0632,Sabtu,29,1,11,59
26-04-0632,Ahad,30,1,11,60
27-04-0632,Isnin,1,2,11,61
28-04-0632,Selasa,2,2,11,62
29-04-0632,Rabu,3,2,11,63
30-04-0632,Khamis,4,2,11,64
01-05-0632,Jumaat,5,2,11,65
02-05-0632,Sabtu,6,2,11,66
03-05-0632,Ahad,7,2,11,67
04-05-0632,Isnin,8,2,11,68
05-05-0632,Selasa,9,2,11,69
06-05-0632,Rabu,10,2,11,70
07-05-0632,Khamis,11,2,11,71
08-05-0632,Jumaat,12,2,11,72
09-05-0632,Sabtu,13,2,11,73
10-05-0632,Ahad,14,2,11,74
11-05-0632,Isnin,15,2,11,75
12-05-0632,Selasa,16,2,11,76
13-05-0632,Rabu,17,2,11,77
14-05-0632,Khamis,18,2,11,78
15-05-0632,Jumaat,19,2,11,79
16-05-0632,Sabtu,20,2,11,80
17-05-0632,Ahad,21,2,11,81
18-05-0632,Isnin,22,2,11,82
19-05-0632,Selasa,23,2,11,83
20-05-0632,Rabu,24,2,11,84
21-05-0632,Khamis,25,2,11,85
22-05-0632,Jumaat,26,2,11,86
23-05-0632,Sabtu,27,2,11,87
24-05-0632,Ahad,28,2,11,88
25-05-0632,Isnin,29,2,11,89
26-05-0632,Selasa,1,3,11,90
27-05-0632,Rabu,2,3,11,91
28-05-0632,Khamis,3,3,11,92
29-05-0632,Jumaat,4,3,11,93
30-05-0632,Sabtu,5,3,11,94
31-05-0632,Ahad,6,3,11,95
01-06-0632,Isnin,7,3,11,96
02-06-0632,Selasa,8,3,11,97
03-06-0632,Rabu,9,3,11,98
04-06-0632,Khamis,10,3,11,99
05-06-0632,Jumaat,11,3,11,100
06-06-0632,Sabtu,12,3,11,101
07-06-0632,Ahad,13,3,11,102
08-06-0632,Isnin,14,3,11,103
09-06-0632,Selasa,15,3,11,104
10-06-0632,Rabu,16,3,11,105
11-06-0632,Khamis,17,3,11,106
12-06-0632,Jumaat,18,3,11,107
13-06-0632,Sabtu,19,3,11,108
14-06-0632,Ahad,20,3,11,109
15-06-0632,Isnin,21,3,11,110
16-06-0632,Selasa,22,3,11,111
17-06-0632,Rabu,23,3,11,112
18-06-0632,Khamis,24,3,11,113
19-06-0632,Jumaat,25,3,11,114
20-06-0632,Sabtu,26,3,11,115
21-06-0632,Ahad,27,3,11,116
22-06-0632,Isnin,28,3,11,117
23-06-0632,Selasa,29,3,11,118
24-06-0632,Rabu,30,3,11,119
25-06-0632,Khamis,1,4,11,120
26-06-0632,Jumaat,2,4,11,121
27-06-0632,Sabtu,3,4,11,122
28-06-0632,Ahad,4,4,11,123
29-06-0632,Isnin,5,4,11,124
30-06-0632,Selasa,6,4,11,125
01-07-0632,Rabu,7,4,11,126
02-07-0632,Khamis,8,4,11,127
03-07-0632,Jumaat,9,4,11,128
04-07-0632,Sabtu,10,4,11,129
05-07-0632,Ahad,11,4,11,130
06-07-0632,Isnin,12,4,11,131
07-07-0632,Selasa,13,4,11,132
08-07-0632,Rabu,14,4,11,133
09-07-0632,Khamis,15,4,11,134
10-07-0632,Jumaat,16,4,11,135
11-07-0632,Sabtu,17,4,11,136
12-07-0632,Ahad,18,4,11,137
13-07-0632,Isnin,19,4,11,138
14-07-0632,Selasa,20,4,11,139
15-07-0632,Rabu,21,4,11,140
16-07-0632,Khamis,22,4,11,141
17-07-0632,Jumaat,23,4,11,142
18-07-0632,Sabtu,24,4,11,143
19-07-0632,Ahad,25,4,11,144
20-07-0632,Isnin,26,4,11,145
21-07-0632,Selasa,27,4,11,146
22-07-0632,Rabu,28,4,11,147
23-07-0632,Khamis,29,4,11,148
24-07-0632,Jumaat,30,4,11,149
25-07-0632,Sabtu,1,5,11,150
26-07-0632,Ahad,2,5,11,151
27-07-0632,Isnin,3,5,11,152
28-07-0632,Selasa,4,5,11,153
29-07-0632,Rabu,5,5,11,154
30-07-0632,Khamis,6,5,11,155
31-07-0632,Jumaat,7,5,11,156
01-08-0632,Sabtu,8,5,11,157
02-08-0632,Ahad,9,5,11,158
03-08-0632,Isnin,10,5,11,159
04-08-0632,Selasa,11,5,11,160
05-08-0632,Rabu,12,5,11,161
06-08-0632,Khamis,13,5,11,162
07-08-0632,Jumaat,14,5,11,163
08-08-0632,Sabtu,15,5,11,164
09-08-0632,Ahad,16,5,11,165
10-08-0632,Isnin,17,5,11,166
11-08-0632,Selasa,18,5,11,167
12-08-0632,Rabu,19,5,11,168
13-08-0632,Khamis,20,5,11,169
14-08-0632,Jumaat,21,5,11,170
15-08-0632,Sabtu,22,5,11,171
16-08-0632,Ahad,23,5,11,172
17-08-0632,Isnin,24,5,11,173
18-08-0632,Selasa,25,5,11,174
19-08-0632,Rabu,26,5,11,175
20-08-0632,Khamis,27,5,11,176
21-08-0632,Jumaat,28,5,11,177
22-08-0632,Sabtu,29,5,11,178
23-08-0632,Ahad,1,6,11,179
24-08-0632,Isnin,2,6,11,180
25-08-0632,Selasa,3,6,11,181
26-08-0632,Rabu,4,6,11,182
27-08-0632,Khamis,5,6,11,183
28-08-0632,Jumaat,6,6,11,184
29-08-0632,Sabtu,7,6,11,185
30-08-0632,Ahad,8,6,11,186
31-08-0632,Isnin,9,6,11,187
01-09-0632,Selasa,10,6,11,188
02-09-0632,Rabu,11,6,11,189
03-09-0632,Khamis,12,6,11,190
04-09-0632,Jumaat,13,6,11,191
05-09-0632,Sabtu,14,6,11,192
