,Julat Subuh,Julat Syuruk,Julat Zohor,Julat Asar,Julat Maghrib,Julat Isyak
01-01-2024 ,111,112,85,96,112,112
02-01-2024 ,111,112,85,96,112,111
03-01-2024 ,111,111,85,96,112,111
04-01-2024 ,110,111,85,96,112,111
05-01-2024 ,110,111,85,96,112,111
06-01-2024 ,110,111,85,95,112,111
07-01-2024 ,110,111,85,95,111,111
08-01-2024 ,110,111,85,95,111,111
09-01-2024 ,109,110,85,95,111,110
10-01-2024 ,109,110,85,95,111,110
11-01-2024 ,109,110,85,94,111,110
12-01-2024 ,109,110,85,94,111,110
13-01-2024 ,108,109,85,94,110,109
14-01-2024 ,108,109,85,94,110,109
15-01-2024 ,108,109,85,93,110,109
16-01-2024 ,108,108,85,93,110,109
17-01-2024 ,107,108,85,93,109,108
18-01-2024 ,107,108,85,93,109,108
19-01-2024 ,107,108,85,92,109,108
20-01-2024 ,106,107,85,92,109,108
21-01-2024 ,106,107,85,92,108,107
22-01-2024 ,106,107,85,91,108,107
23-01-2024 ,105,106,85,91,108,107
24-01-2024 ,105,106,85,91,107,106
25-01-2024 ,104,105,85,90,107,106
26-01-2024 ,104,105,85,90,107,106
27-01-2024 ,104,105,85,90,106,105
28-01-2024 ,103,104,85,89,106,105
29-01-2024 ,103,104,85,89,106,105
30-01-2024 ,102,103,85,89,105,104
31-01-2024 ,102,103,85,88,105,104
01-02-2024 ,101,103,85,88,105,104
02-02-2024 ,101,102,85,87,104,103
03-02-2024 ,101,102,85,87,104,103
04-02-2024 ,100,101,85,87,104,103
05-02-2024 ,100,101,85,86,103,102
06-02-2024 ,99,100,85,86,103,102
07-02-2024 ,99,100,85,85,103,101
08-02-2024 ,98,99,85,85,102,101
09-02-2024 ,98,99,85,84,102,101
10-02-2024 ,97,98,85,84,101,100
11-02-2024 ,97,98,85,84,101,100
12-02-2024 ,96,97,85,83,101,99
13-02-2024 ,96,97,85,83,100,99
14-02-2024 ,95,97,85,83,100,99
15-02-2024 ,95,96,85,83,99,98
16-02-2024 ,94,96,85,83,99,98
17-02-2024 ,94,95,85,84,99,97
18-02-2024 ,93,94,85,84,98,97
19-02-2024 ,92,94,85,85,98,96
20-02-2024 ,92,93,85,85,97,96
21-02-2024 ,91,93,85,86,97,96
22-02-2024 ,91,92,85,87,97,95
23-02-2024 ,90,92,85,87,96,95
24-02-2024 ,90,91,85,88,96,94
25-02-2024 ,89,91,85,89,95,94
26-02-2024 ,89,90,85,90,95,93
27-02-2024 ,88,90,85,90,94,93
28-02-2024 ,88,89,85,91,94,92
29-02-2024 ,87,89,85,92,94,92
01-03-2024 ,86,88,85,92,93,92
02-03-2024 ,86,88,85,93,93,91
03-03-2024 ,85,87,85,94,92,91
04-03-2024 ,85,87,85,95,92,90
